Date,Depth_to_Groundwater_P25
2009-01-01,-31.14
2009-01-02,-31.11
2009-01-03,-31.07
2009-01-04,-31.05
2009-01-05,-31.01
2009-01-06,-31.0
2009-01-07,-30.96
2009-01-08,-30.94
2009-01-09,-30.93
2009-01-10,-30.87
2009-01-11,-30.83
2009-01-12,-30.74
2009-01-13,-30.63
2009-01-14,-30.55
2009-01-15,-30.57
2009-01-16,-30.61
2009-01-17,-30.68
2009-01-18,-30.41
2009-01-19,-30.28
2009-01-20,-30.21
2009-01-21,-30.18
2009-01-22,-30.15
2009-01-23,-30.08
2009-01-24,-29.97
2009-01-25,-30.04
2009-01-26,-29.97
2009-01-27,-29.96
2009-01-28,-29.96
2009-01-29,-29.93
2009-01-30,-29.93
2009-01-31,-29.86
2009-02-01,-29.74
2009-02-02,-29.71
2009-02-03,-29.71
2009-02-04,-29.65
2009-02-05,-29.67
2009-02-06,-29.54
2009-02-07,-29.5
2009-02-08,-29.48
2009-02-09,-29.55
2009-02-10,-29.46
2009-02-11,-29.46
2009-02-12,-29.45
2009-02-13,-29.45
2009-02-14,-29.43
2009-02-15,-29.44
2009-02-16,-29.4
2009-02-17,-29.24
2009-02-18,-29.22
2009-02-19,-29.22
2009-02-20,-29.21
2009-02-21,-29.18
2009-02-22,-29.11
2009-02-23,-29.02
2009-02-24,-29.01
2009-02-25,-29.03
2009-02-26,-28.98
2009-02-27,-28.95
2009-02-28,-28.99
2009-03-01,-28.91
2009-03-02,-28.85
2009-03-03,-28.85
2009-03-04,-28.71
2009-03-05,-28.58
2009-03-06,-28.65
2009-03-07,-28.76
2009-03-08,-28.77
2009-03-09,-28.71
2009-03-10,-28.71
2009-03-11,-28.68
2009-03-12,-28.72
2009-03-13,-28.68
2009-03-14,-28.65
2009-03-15,-28.57
2009-03-16,-28.61
2009-03-17,-28.61
2009-03-18,-28.54
2009-03-19,-28.43
2009-03-20,-28.4
2009-03-21,-28.36
2009-03-22,-28.32
2009-03-23,-28.27
2009-03-24,-28.15
2009-03-25,-28.21
2009-03-26,-28.24
2009-03-27,-28.24
2009-03-28,-28.17
2009-03-29,-28.03
2009-03-30,-28.12
2009-03-31,-28.09
2009-04-01,-28.03
2009-04-02,-28.1
2009-04-03,-28.09
2009-04-04,-28.08
2009-04-05,-28.03
2009-04-06,-27.98
2009-04-07,-27.97
2009-04-08,-27.98
2009-04-09,-27.97
2009-04-10,-27.9
2009-04-11,-27.86
2009-04-12,-27.76
2009-04-13,-27.58
2009-04-14,-27.65
2009-04-15,-27.77
2009-04-16,-27.76
2009-04-17,-27.72
2009-04-18,-27.74
2009-04-19,-27.62
2009-04-20,-27.59
2009-04-21,-27.56
2009-04-22,-27.52
2009-04-23,-27.57
2009-04-24,-27.6
2009-04-25,-27.59
2009-04-26,-27.53
2009-04-27,-27.38
2009-04-28,-27.39
2009-04-29,-27.4
2009-04-30,-27.37
2009-05-01,-27.39
2009-05-02,-27.42
2009-05-03,-27.38
2009-05-04,-27.34
2009-05-05,-27.36
2009-05-06,-27.39
2009-05-07,-27.42
2009-05-08,-27.41
2009-05-09,-27.45
2009-05-10,-27.43
2009-05-11,-27.41
2009-05-12,-27.44
2009-05-13,-27.45
2009-05-14,-27.43
2009-05-15,-27.39
2009-05-16,-27.39
2009-05-17,-27.46
2009-05-18,-27.48
2009-05-19,-27.53
2009-05-20,-27.56
2009-05-21,-27.58
2009-05-22,-27.57
2009-05-23,-27.61
2009-05-24,-27.62
2009-05-25,-27.62
2009-05-26,-27.63
2009-05-27,-27.68
2009-05-28,-27.57
2009-05-29,-27.53
2009-05-30,-27.47
2009-05-31,-27.41
2009-06-01,-27.21
2009-06-02,-27.28
2009-06-03,-27.37
2009-06-04,-27.38
2009-06-05,-27.41
2009-06-06,-27.36
2009-06-07,-27.33
2009-06-08,-27.34
2009-06-09,-27.44
2009-06-10,-27.48
2009-06-11,-27.53
2009-06-12,-27.55
2009-06-13,-27.62
2009-06-14,-27.69
2009-06-15,-27.7
2009-06-16,-27.73
2009-06-17,-27.77
2009-06-18,-27.73
2009-06-19,-27.72
2009-06-20,-27.69
2009-06-21,-27.53
2009-06-22,-27.59
2009-06-23,-27.59
2009-06-24,-27.57
2009-06-25,-27.65
2009-06-26,-27.68
2009-06-27,-27.52
2009-06-28,-27.32
2009-06-29,-27.44
2009-06-30,-27.44
2009-07-01,-27.5
2009-07-02,-27.53
2009-07-03,-27.4
2009-07-04,-27.39
2009-07-05,-27.32
2009-07-06,-27.24
2009-07-07,-27.34
2009-07-08,-27.42
2009-07-09,-27.36
2009-07-10,-27.43
2009-07-11,-27.48
2009-07-12,-27.5
2009-07-13,-27.54
2009-07-14,-27.66
2009-07-15,-27.72
2009-07-16,-27.79
2009-07-17,-27.81
2009-07-18,-27.77
2009-07-19,-27.67
2009-07-20,-27.76
2009-07-21,-27.85
2009-07-22,-27.89
2009-07-23,-27.96
2009-07-24,-28.03
2009-07-25,-28.11
2009-07-26,-28.07
2009-07-27,-28.05
2009-07-28,-28.12
2009-07-29,-28.19
2009-07-30,-28.21
2009-07-31,-28.26
2009-08-01,-28.3
2009-08-02,-28.29
2009-08-03,-28.23
2009-08-04,-28.0
2009-08-05,-28.01
2009-08-06,-27.97
2009-08-07,-28.02
2009-08-08,-28.03
2009-08-09,-28.03
2009-08-10,-27.96
2009-08-11,-27.9
2009-08-12,-27.92
2009-08-13,-28.0
2009-08-14,-28.04
2009-08-15,-28.03
2009-08-16,-28.01
2009-08-17,-28.06
2009-08-18,-28.17
2009-08-19,-28.21
2009-08-20,-28.25
2009-08-21,-28.32
2009-08-22,-28.36
2009-08-23,-28.42
2009-08-24,-28.43
2009-08-25,-28.38
2009-08-26,-28.41
2009-08-27,-28.41
2009-08-28,-28.35
2009-08-29,-28.32
2009-08-30,-28.3
2009-08-31,-28.32
2009-09-01,-28.42
2009-09-02,-28.43
2009-09-03,-28.42
2009-09-04,-28.42
2009-09-05,-28.44
2009-09-06,-28.44
2009-09-07,-28.41
2009-09-08,-28.45
2009-09-09,-28.45
2009-09-10,-28.47
2009-09-11,-28.45
2009-09-12,-28.45
2009-09-13,-28.39
2009-09-14,-28.39
2009-09-15,-28.43
2009-09-16,-28.33
2009-09-17,-28.32
2009-09-18,-28.34
2009-09-19,-28.38
2009-09-20,-28.42
2009-09-21,-28.3
2009-09-22,-28.35
2009-09-23,-28.38
2009-09-24,-28.37
2009-09-25,-28.48
2009-09-26,-28.56
2009-09-27,-28.57
2009-09-28,-28.58
2009-09-29,-28.6
2009-09-30,-28.61
2009-10-01,-28.61
2009-10-02,-28.57
2009-10-03,-28.66
2009-10-04,-28.66
2009-10-05,-28.67
2009-10-06,-28.74
2009-10-07,-28.74
2009-10-08,-28.75
2009-10-09,-28.76
2009-10-10,-28.72
2009-10-11,-28.66
2009-10-12,-28.61
2009-10-13,-28.7
2009-10-14,-28.69
2009-10-15,-28.67
2009-10-16,-28.73
2009-10-17,-28.73
2009-10-18,-28.71
2009-10-19,-28.74
2009-10-20,-28.75
2009-10-21,-28.73
2009-10-22,-28.65
2009-10-23,-28.67
2009-10-24,-28.77
2009-10-25,-28.9
2009-10-26,-28.9
2009-10-27,-28.96
2009-10-28,-28.94
2009-10-29,-28.98
2009-10-30,-29.01
2009-10-31,-29.03
2009-11-01,-28.98
2009-11-02,-28.89
2009-11-03,-28.82
2009-11-04,-28.93
2009-11-05,-28.99
2009-11-06,-28.98
2009-11-07,-29.03
2009-11-08,-28.97
2009-11-09,-28.99
2009-11-10,-28.98
2009-11-11,-29.04
2009-11-12,-29.1
2009-11-13,-29.08
2009-11-14,-29.03
2009-11-15,-28.97
2009-11-16,-28.96
2009-11-17,-28.98
2009-11-18,-29.05
2009-11-19,-29.07
2009-11-20,-29.12
2009-11-21,-29.11
2009-11-22,-29.09
2009-11-23,-29.11
2009-11-24,-29.13
2009-11-25,-29.15
2009-11-26,-29.12
2009-11-27,-29.1
2009-11-28,-29.13
2009-11-29,-29.11
2009-11-30,-29.06
2009-12-01,-29.14
2009-12-02,-29.22
2009-12-03,-29.21
2009-12-04,-29.11
2009-12-05,-29.19
2009-12-06,-29.23
2009-12-07,-29.19
2009-12-08,-29.12
2009-12-09,-29.17
2009-12-10,-29.22
2009-12-11,-29.25
2009-12-12,-29.25
2009-12-13,-29.29
2009-12-14,-29.26
2009-12-15,-29.23
2009-12-16,-29.21
2009-12-17,-29.21
2009-12-18,-29.25
2009-12-19,-29.22
2009-12-20,-29.36
2009-12-21,-29.41
2009-12-22,-29.33
2009-12-23,-29.39
2009-12-24,-29.37
2009-12-25,-29.27
2009-12-26,-29.25
2009-12-27,-29.21
2009-12-28,-29.25
2009-12-29,-29.15
2009-12-30,-29.1
2009-12-31,-29.1
2010-01-01,-29.08
